,FX1_W2_Day2,FX1_W4_Day4,FX1_W5_Day3,FX1_W5_Day4,FX1_W6_Day4,FX1_W6_Day5,FX1_W7_Day1,FX1_W7_Day2,FX1_W7_Day3,FX1_W7_Day4,FX1_W7_Day5,FX1_W8_Day1,FX1_W8_Day2,FX1_W8_Day3,FX1_W8_Day4,FX2_W2_Day1,FX2_W2_Day2,FX2_W2_Day3,FX2_W2_Day4,FX2_W2_Day5,FX2_W3_Day1,FX2_W3_Day2,FX2_W3_Day3,FX2_W5_Day1,FX2_W5_Day2,FX2_W5_Day3,FX2_W5_Day4,FX2_W5_Day5,FX2_W6_Day1,FX2_W6_Day2,FX2_W6_Day3,FX2_W6_Day4,FX2_W6_Day5,FX2_W7_Day1,FX2_W7_Day2,FX2_W7_Day3,FX2_W7_Day4,FX2_W7_Day5,FX2_W8_Day1,FX3_W2_Day1,FX3_W2_Day2,FX3_W2_Day3,FX3_W2_Day4,FX3_W2_Day5,FX3_W3_Day2,FX3_W3_Day3,FX3_W3_Day4,FX3_W5_Day1,FX3_W5_Day2,FX3_W5_Day3,FX3_W5_Day4,FX3_W5_Day5,FX3_W6_Day1,FX3_W6_Day2,FX3_W6_Day3,FX3_W6_Day4,FX3_W6_Day5,FX3_W7_Day1,FX3_W7_Day2,FX3_W7_Day3,FX3_W7_Day4,FX3_W7_Day5,FX3_W8_Day1,FX3_W8_Day2,FX3_W8_Day3,MX1_W3_Day1,MX1_W3_Day2,MX1_W3_Day3,MX1_W3_Day4,MX1_W3_Day5,MX1_W4_Day2,MX1_W4_Day3,MX1_W4_Day4,MX1_W5_Day1,MX1_W5_Day2,MX1_W6_Day1,MX1_W6_Day2,MX1_W6_Day3,MX1_W6_Day4,MX1_W6_Day5,MX1_W7_Day1,MX1_W7_Day2,MX1_W7_Day3,MX1_W7_Day4,MX1_W7_Day5,MX1_W8_Day1,MX1_W8_Day2,MX1_W8_Day3,MX1_W8_Day4,MX1_W8_Day5,MX2_W2_Day1,MX2_W2_Day3,MX2_W3_Day1,MX2_W3_Day2,MX2_W3_Day3,MX2_W3_Day4,MX2_W3_Day5,MX2_W4_Day2,MX2_W4_Day3,MX2_W6_Day1,MX2_W6_Day2,MX2_W6_Day3,MX2_W6_Day4,MX2_W6_Day5,MX2_W7_Day1,MX2_W7_Day2,MX2_W7_Day3,MX2_W7_Day4,MX2_W7_Day5,MX2_W8_Day1,MX2_W8_Day2,MX2_W8_Day3,MX2_W8_Day4,MX2_W8_Day5,Zt,T
0,,188.2357333,166.3152274,,,173.3888746,,189.8636871,,,160.0727314,201.2970781,153.4685362,188.4432318,,177.6811557,,,,,,,,145.5375865,184.8295238,146.6500259,,,147.3660329,185.4201057,173.016599,,183.846561,,184.8264886,,,173.6776545,188.3904758,199.1330202,,,,,,,,143.6451526,161.9600776,158.0335221,,,149.7950083,158.5147731,149.2760481,,141.1620193,,206.7185873,,,192.9425188,207.2433982,179.1747669,197.4561912,224.5795207,,,,,,,,,,193.7679396,182.3525973,162.0670682,,,155.1745146,171.5328128,187.9563121,,178.5510587,,172.3150197,,,163.7739227,162.0893129,168.7908148,207.2827237,,,,,,,176.4351708,186.2440683,182.2293164,,,159.9332027,157.69357,149.5429738,,171.6765895,,191.1411303,,,163.3018031,0,-300
1,,178.2734838,159.3679983,,,182.1406079,,199.7380024,,,177.5283091,200.2408536,155.3036476,192.2540795,,180.603291,,,,,,,,151.0627385,190.0679304,156.4789871,,,157.0726118,193.964747,191.5556768,,181.8672342,,180.7330465,,,175.807501,203.8061876,199.946088,,,,,,,,146.3946655,145.9763692,168.0624133,,,165.7020261,170.0145236,169.6302053,,135.0926988,,204.6806387,,,155.76059,191.5476392,137.7906817,198.5003341,224.468238,,,,,,,,,,200.2377594,201.9156713,151.1310393,,,166.7149755,187.448923,193.3065208,,181.2813935,,165.5261812,,,179.7631615,168.5456747,171.5050028,188.0608065,,,,,,,153.4757834,180.3777309,187.6565755,,,171.4601202,170.800722,154.911229,,175.9641099,,183.4953817,,,179.2091065,0,-295
2,,179.7571421,167.5081444,,,186.1417575,,202.0492545,,,183.3380305,206.7689225,187.1445856,191.6367598,,188.5759296,,,,,,,,164.2467278,174.5762298,153.3433442,,,171.5947292,181.8753419,170.59386,,177.69142,,207.6069388,,,179.0054349,197.4910313,196.085648,,,,,,,,149.4875193,138.7845915,183.9046354,,,174.0189694,171.5177028,213.0946838,,144.6022229,,203.3443014,,,141.4113139,189.4122304,136.9486781,200.1496718,219.8883535,,,,,,,,,,195.2146124,195.1595582,159.2073051,,,167.7400877,187.1117002,178.0179553,,184.3946541,,166.8090725,,,199.6259843,178.9089488,180.5107163,160.93279,,,,,,,157.5496329,186.1317502,173.4508599,,,182.7009538,183.4586095,167.8885303,,171.8490348,,215.2412398,,,177.1815753,0,-290
3,,183.7944644,169.8587611,,,162.2244186,,204.4207314,,,187.1365239,207.2727691,191.8842834,175.0616682,,190.0142742,,,,,,,,167.4110526,155.1680772,153.8300435,,,179.9321701,159.7061731,137.9369128,,156.302178,,217.8124138,,,170.3129864,192.9644551,193.9641433,,,,,,,,152.7964038,142.4123368,158.5623296,,,187.0047294,157.0359197,199.7836818,,143.8945843,,198.4989655,,,147.6260694,184.864108,144.2738779,192.7395647,219.2807396,,,,,,,,,,176.7413456,181.4267588,161.1387966,,,159.7081766,189.8123247,179.8019665,,180.7584488,,166.5061812,,,192.5964694,160.042529,179.7806425,175.4854864,,,,,,,174.5011498,188.6313132,163.0580278,,,186.1780309,184.3191004,177.5885263,,171.9876399,,198.8863809,,,182.4059297,0,-285
4,,174.3506596,166.2863735,,,181.3365644,,216.5404275,,,182.1188173,185.9613348,186.523538,178.2534888,,192.7957258,,,,,,,,189.79005,157.4205416,140.4303678,,,200.9575767,157.9702201,144.1522764,,146.7824884,,219.4934359,,,183.1135883,184.1288305,193.2423735,,,,,,,,160.3718199,145.9365689,148.3454208,,,166.0530447,171.988261,193.5033493,,145.106856,,177.5783599,,,163.5232885,187.0034616,156.5116048,204.1300669,223.6512362,,,,,,,,,,196.3556442,198.3000442,156.4823429,,,157.5539556,216.6475405,186.7784818,,168.5574618,,194.5977124,,,172.0244326,143.0776725,155.5611943,185.2590512,,,,,,,177.0406874,189.2185231,171.5302705,,,193.6369247,192.3170756,161.4244694,,180.3038483,,195.4854706,,,189.0019623,0,-280
5,,177.1669786,172.5817389,,,197.6032152,,192.6544023,,,184.0975737,174.5622687,183.3355713,200.9917012,,184.4542631,,,,,,,,181.9527422,161.9611977,158.381921,,,196.5161198,163.3080245,150.827643,,157.1581465,,220.0327279,,,192.5894003,188.8277079,188.888304,,,,,,,,183.5773782,148.8601104,150.2981713,,,141.7858509,158.123513,159.7729713,,170.2088675,,191.960957,,,182.357429,201.7441494,164.8953739,198.8334435,216.6500416,,,,,,,,,,195.7017085,173.4456378,160.7091062,,,165.6391906,164.8073991,172.1010797,,166.3853622,,196.2698637,,,200.6755514,156.4005026,149.6989216,182.9483403,,,,,,,181.5473477,193.4661379,181.8392915,,,195.4817651,210.7809612,149.449669,,175.0779016,,184.6557476,,,198.3915819,0,-275
6,,185.4311964,172.998385,,,192.5957173,,195.6402289,,,191.596096,194.054481,211.6185901,211.0778878,,189.7286444,,,,,,,,171.1512378,174.1626647,153.5846604,,,181.3739205,180.2792343,150.2333393,,164.8915727,,230.2007061,,,200.4739847,193.4315407,182.267301,,,,,,,,185.0681933,155.5237143,149.4329444,,,141.6283086,168.6166375,186.29307,,181.4302812,,199.321575,,,210.5036207,216.8642032,196.1203236,203.8757441,220.8430985,,,,,,,,,,193.4215533,166.6304353,168.8059351,,,189.1370825,150.1110396,165.6437451,,172.7859028,,191.9121347,,,202.1524172,175.2428309,172.0577232,189.3154875,,,,,,,187.0550059,192.8913665,185.4213101,,,187.7807591,188.8913871,156.3940499,,159.3140372,,168.1343865,,,209.285997,0,-270
7,,173.1620913,164.747674,,,186.670522,,202.5774908,,,191.1200957,198.1706419,217.2055264,190.7993919,,175.0194814,,,,,,,,166.4386018,187.1243615,141.1125662,,,156.1489603,194.5934754,159.7895971,,166.9315519,,234.284519,,,204.2568219,207.7938977,186.7011891,,,,,,,,154.4403622,155.8836532,142.5844399,,,167.8039465,212.7424454,224.3593686,,193.9125723,,200.0402927,,,215.7722281,210.5005788,211.0722732,205.8531785,224.6863454,,,,,,,,,,199.2586305,169.1830497,184.3499781,,,198.6359161,143.6395942,183.2658425,,181.6252534,,203.2742211,,,180.196753,175.4486224,176.6164798,190.9591856,,,,,,,188.1107756,193.3460637,182.7002826,,,182.4199186,193.582642,163.0608382,,151.7108328,,178.1133906,,,212.6430721,0,-265
8,,174.1071513,163.7001756,,,191.2380718,,187.4554062,,,207.8205226,189.3975507,211.1428768,173.9959099,,186.5528955,,,,,,,,173.4049756,190.0172829,134.6849677,,,164.2580084,158.7892153,166.3640461,,176.991403,,223.5672864,,,201.7718206,210.1354291,184.6648047,,,,,,,,144.9171795,160.8810852,151.4168789,,,174.4643638,234.4997496,219.8566229,,171.860244,,187.5640545,,,205.4890269,214.2338804,211.9743691,205.1180404,224.5683607,,,,,,,,,,201.5678702,176.6434814,179.5844684,,,195.6004887,152.085849,185.65052,,191.5448846,,196.9668881,,,177.9222186,180.7661326,182.4956643,201.9705421,,,,,,,190.0236206,191.5681796,163.3818707,,,189.2709192,198.6219752,169.8846581,,160.444743,,191.4472881,,,203.3204682,0,-260
9,,183.532007,164.4692931,,,180.8631518,,172.1282412,,,202.6405601,205.1163538,205.4271223,205.2002681,,191.8215089,,,,,,,,192.4033083,192.0812732,153.3556825,,,190.0743646,156.0593253,170.3680404,,177.7543297,,183.0926259,,,202.5853984,212.753773,174.0813411,,,,,,,,147.9191121,183.900894,163.1195038,,,202.3344797,228.8294025,216.9421107,,159.566206,,148.0751983,,,211.391889,215.6664622,195.0538704,204.5621777,217.9634731,,,,,,,,,,197.4012577,207.6862084,198.5741975,,,192.9933267,162.3391117,201.3733697,,192.0908436,,195.1837681,,,190.8751497,177.5774651,190.9406602,212.7389441,,,,,,,185.6461018,198.117083,153.2653685,,,186.0538055,199.6449766,175.4819832,,173.3570334,,179.6962515,,,196.4866578,0,-255
